"id";"title";"legal_areas";"revisions";"nodes";"log_nodes";"log_section_nodes";"text_nodes";"nontext_nodes";"above_section_nodes";"section_nodes";"below_section_nodes";"mean_depth";"mean_leaf_depth";"tokens";"tokens_per_section";"tokens_per_text_node";"entropy_lemma";"entropy_word";"num_words";"num_sentences";"avg_sentence_length";"avg_syllables_per_word";"avg_word_length";"citations";"citations_internal";"citations_out";"citations_in";"citations_external";"net_flow";"net_flow_per_section";"flesch";"bijlage_cits";"unkown_doc";"empty_doc";"bad_doc"
"BWBR0006286";"Wet rechtspositie ministers en staatssecretarissen";"Arbeidsrecht en sociaal-zekerheidsrecht";55;37;1.568201724066995;1.1760912590556813;29;8;0;15;21;1.5945945945945945;1.7857142857142858;944;62.93333333333333;32.55172413793103;4.882849286199109;5.012833029933658;925;34;29.862068965517242;1.9666880447890647;5.785951106145277;27;17;5;1;6;4;0.26666666666666666;10.143191410845134;0;0;0;0
"BWBR0006297";"Wet op de identificatieplicht";"Openbare orde en veiligheidsrecht";6;18;1.255272505103306;0.6989700043360189;12;6;3;5;9;2.4444444444444446;3.090909090909091;555;111.0;46.25;4.666540494896024;4.766947460333039;542;17;35.25;1.978533857656507;5.624124416453635;9;2;7;99;106;-92;-18.4;3.67228564225951;0;1;0;1
"BWBR0006298";"Garantiewet Surinaamse pensioenen";"Arbeidsrecht en sociaal-zekerheidsrecht";3;49;1.6901960800285136;0.9542425094393249;43;6;0;9;39;2.142857142857143;2.388888888888889;1222;135.77777777777777;28.41860465116279;4.907545532856934;4.9163427099320325;1171;65;20.75581395348837;2.015145164824878;5.828577320262119;9;3;6;1;7;5;0.5555555555555556;15.286567893024653;0;0;0;0
"BWBR0006319";"Wet privatisering Spoorwegpensioenfonds";"Arbeidsrecht en sociaal-zekerheidsrecht";6;131;2.1172712956557644;1.568201724066995;110;21;4;37;89;2.816793893129771;3.0396039603960396;3709;100.24324324324324;33.71818181818182;5.215817873829882;5.341529466228664;3587;180;24.39848484848486;2.0505468372338584;5.955810627649876;80;30;50;5;55;45;1.2162162162162162;8.594275448803472;0;1;0;1
"BWBR0006324";"Wet op de motorrijtuigenbelasting 1994";"Belastingrecht";50;391;2.5921767573958667;1.8750612633917;306;85;38;75;277;3.5524296675191818;3.9384057971014492;9372;124.96;30.627450980392158;5.8216051960054305;5.9563493984788;9119;451;22.93681917211329;1.873981892960597;5.592536549456595;162;100;57;55;112;2;0.02666666666666667;25.01526039583854;0;0;0;0
"BWBR0006353";"Wet brutering overhevelingstoeslag lonen";"Belastingrecht";3;38;1.5797835966168101;1.0;32;6;0;10;27;1.8421052631578947;2.0689655172413794;1220;122.0;38.125;5.108236148796152;5.213730385144922;1180;59;22.9578125;2.154142028579576;6.23682741650896;27;11;16;23;39;-7;-0.7;1.2924046946679084;0;0;0;0
"BWBR0006367";"Leningwet 1994";"Staats- en bestuursrecht";1;8;0.9030899869919435;0.8450980400142568;7;1;0;7;0;0.875;1.0;171;24.428571428571427;24.428571428571427;3.9385568386863135;3.9449379136102714;166;8;23.857142857142858;1.8304480928541078;5.360876773658729;0;0;0;0;0;0;0.0;27.764091344542493;0;0;0;0
"BWBR0006368";"Wet op de rechtsbijstand";"Arbeidsrecht en sociaal-zekerheidsrecht";54;406;2.6085260335771943;1.9344984512435677;335;71;23;86;296;3.667487684729064;3.9675324675324677;8799;102.31395348837209;26.265671641791045;5.875367617699398;6.05042361835276;8674;475;20.284179104477598;1.9533860451894738;5.771449826063266;205;94;90;42;132;48;0.5581395348837209;20.990098785925767;0;1;0;1
"BWBR0006462";"Rijkswet houdende goedkeuring Raamverdrag inzake vriendschap en nauwere samenwerking tussen het Koninkrijk der Nederlanden en de Republiek Suriname";"Internationaal publiekrecht";1;4;0.6020599913279624;0.47712125471966244;3;1;0;3;0;0.75;1.0;92;30.666666666666668;30.666666666666668;3.7142428656956605;3.7142428656956605;86;4;24.0;1.8153759820426487;5.533790283790283;1;1;0;0;0;0;0.0;28.89419191919194;0;0;0;0
"BWBR0006463";"Organisatiewet Kadaster";"Ruimtelijke ordening en milieu";12;112;2.0492180226701815;1.6127838567197355;87;25;14;41;56;2.8214285714285716;3.107142857142857;1846;45.02439024390244;21.2183908045977;5.158878254338137;5.269506600065368;1824;158;14.50842911877393;2.1535151467052622;6.147204322902487;24;10;14;10;24;4;0.0975609756097561;9.921563033179297;0;0;0;0
